unit	c_sources	status	crate	bench_ratio	notes
backend-replication-slotfuncs	src/backend/replication/slotfuncs.c	ported	slotfuncs	cold	fabled:backend-replication-slotfuncs; 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted; 2026-07-04 logical-decode-p1: 3779/3780/3781 (20-col SRF) + pg_create_logical_replication_slot (3786); SLOTFUNCS_BUILTINS late-registered (slotfuncs->logical would cycle fmgr_core); GetWALAvailability+KeepLogSeg hosted locally pending xlog WAL-removal port; 2026-07-04 obs-slot-waitevent lane landed the remaining arms: pg_replication_slot_advance (3878, both physical + logical arms — LogicalSlotAdvanceAndCheckSnapState drives the existing CreateDecodingContext/XLogBeginRead/XLogReadRecord/LogicalDecodingProcessRecord loop in fast_forward mode exactly like DecodingContextFindStartpoint's precedent, restores CurrentResourceOwner per C, InvalidateSystemCaches on both exit paths); pg_copy_physical_replication_slot_a/b (4220/4221) + pg_copy_logical_replication_slot_a/b/c (4222/4223/4224) via a shared copy_replication_slot core (name-scan under REPLICATION_SLOT_CONTROL_LOCK, src/dst consistency re-check after create, temporary/plugin override-or-source-default semantics per C's PG_NARGS() arms); pg_sync_replication_slots (6344) LOUD: SyncReplicationSlots/ValidateSlotSyncParams/walrcv_connect/slotsync.c have zero substrate in this repo (no walreceiver-conn or slotsync crate exists) — named panic with the missing-unit list; PhysicalWakeupLogicalWalSnd LOUD only on its actual-wakeup arm (WalSndCtl->wal_confirm_rcv_cv unreachable, walsender unported) — RecoveryInProgress/SlotExistsInSyncStandbySlots early exits are live, matching the WaitForStandbyConfirmation precedent already in slot.rs; 11 builtins total (was 4), SLOTFUNCS_BUILTINS test updated; new deps: elog/resowner/inval/xlogreader/postgres_seams/xlogrecovery (no cycles — none of these depend back on replication crates); density 3.6%; found+fixed in self-audit before delivery: copy_replication_slot's 6 error paths originally used plain elog() (ERRCODE_INTERNAL_ERROR) instead of C's ERRCODE_UNDEFINED_OBJECT/ERRCODE_FEATURE_NOT_SUPPORTED/ERRCODE_OBJECT_NOT_IN_PREREQUISITE_STATE + errdetail/errhint splits — rewritten to ereport()+errcode/errdetail/errhint matching slotfuncs.c verbatim (sha f9592db63af79bb6a078e2ff82ae68e00c558d89 has the fix, re-verified green); fleet fast-tests PASS (job pgrust-fast-tests-f9592db63a-1783216415: build+9 crate tests+crash-restart smoke+scalar-types e2e all green); select1 dist gate spot-pair CONFIRMED bit-flat: pgrust instr/q 35661 (this branch, sha 3b9ff6ab4c) vs 35680 (origin/main 7583115c027b8d4992ba43d6737f48e3732c9fc5) = -0.05%, well inside noise (jobs pgrust-select1-gate-1783215465-11407 / -1783216703-94142); retag cold (DDL-shaped slot admin functions, no per-query cost); AUDITED 2026-07-04 (notes/audits/slotfuncs-obs-lane.md): all 16 functions MATCH/SEAMED after fixes; audit F1 (error paths leave MyReplicationSlot acquired -> next slot op hits the hard acquire assert; C releases in postgres.c:4457-4467 top-level recovery) FIXED in tcop main_loop error_recovery (ReplicationSlotRelease if acquired + ReplicationSlotCleanup(false) — also drops RS_TEMPORARY slots on error per C), independently caught by the slot-waitevent e2e; F2 (6344 strict=false vs pg_proc BKI_DEFAULT(t)) FIXED + test-pinned; F3 NOTE: hosted keep_log_seg drops the GetOldestUnsummarizedLSN clamp (walsummarizer unported, display-only today); F4 NOTE: advance loop errors loudly on record=None where C re-loops (unreachable given pre-clamp); e2e scripts/slot-waitevent-e2e.sh PASS at a82418344 (job pgrust-fast-tests-a82418344b-1783217771: create/advance/copy/drop round-trip physical+logical, error SQLSTATEs, temporary-slot cleanup-on-error, all byte-identical vs live C, LSNs normalized); regress-diff PASS same job
backend-replication-syncrep-scanner	src/backend/replication/syncrep_scanner.l,build-clean/src/backend/replication/syncrep_scanner.c	non-core			fabled:backend-replication-syncrep-scanner; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-syncrep-gram	src/backend/replication/syncrep_gram.y,build-clean/src/backend/replication/syncrep_gram.c	non-core			fabled:backend-replication-syncrep-gram; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-syncrep	src/backend/replication/syncrep.c	non-core			fabled:backend-replication-syncrep; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-walreceiver	src/backend/replication/walreceiver.c	ported	walreceiver	cold	fabled:backend-replication-walreceiver; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted; recovery-standby walreceiver lane 2026-07-12: WalReceiverMain full port (identify_system sysid/tli checks, timeline-history fetch, streaming loop, XLogWalRcvProcessMsg/Write/Flush/Close via XLogFileInit+issue_xlog_fsync, SendReply 'r'/HSFeedback 'h', ProcessWalSndrMessage, WalRcvComputeNextWakeup, config reload, WalRcvWaitForStartPosition, WalRcvDie on_shmem_exit, WalRcvForceReply, pg_stat_get_wal_receiver via walreceiverfuncs_seams snapshot); B_WAL_RECEIVER wired in launch_backend + postmaster reaper arm (exit 0/1 normal); GUC backing wal_receiver_timeout/status_interval/hot_standby_feedback in guc_tables; LOUD: wal_receiver_create_temp_slot=on (CREATE_REPLICATION_SLOT client cmd unported)
backend-replication-walreceiverfuncs	src/backend/replication/walreceiverfuncs.c	ported	walreceiverfuncs	cold	fabled:backend-replication-walreceiverfuncs; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted; 2026-07-05 batch-fmgr-tail w2: pg_stat_get_wal_receiver 3317 SKIPPED - no walreceiver shmem (WalRcvData) exists yet; recovery-standby walreceiver lane 2026-07-12: full port — WalRcv control block (Mutex+atomics+CV), WalRcvRunning/Streaming STARTING->STOPPED 10s FSM, ShutdownWalRcv (SendThreadSignal SIGTERM + walRcvStoppedCV wait), RequestXLogStreaming (segment-boundary rewind, PMSIGNAL_START_WALRECEIVER / procno latch), GetWalRcvFlushRecPtr/WriteRecPtr, GetReplicationApplyDelay/TransferLatency (xlogrecovery::targets chunk start time direct dep); installs all walreceiverfuncs_seams + stat snapshot; shmem init/reset wired in ipci
backend-replication-walsender	src/backend/replication/walsender.c	non-core			fabled:backend-replication-walsender; m1-spine; max_wal_senders GUC home in walsender_config crate (boot config surface only, unit unclaimed); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-rewrite-manip	src/backend/rewrite/rewriteManip.c	ported	rewrite_manip	cold(rewrite-time; per-statement on rule-bearing tables only)	2026-07-03 rules lane over LIKE-lane map_variable_attnos: OffsetVarNodes/ChangeVarNodes/IncrementVarSublevelsUp/rangeTableEntry_used/getInsertSelectQuery/checkExprHasSubLink/AddQual/AddInvertedQual/CombineRangeTables/ReplaceVarsFromTargetList(3 nomatch modes)/contains_multiexpr_param; in-place walkers under exclusive-ownership module contract (fresh stringToNode reads = C copyObject); copyObject = out/read round trip (cold; note perf if a workload ever hits it); loud: whole-row Var expansion (expandRTE/RowExpr), OLD/NEW RETURNING varreturningtype, CurrentOfExpr vocab, add/remove_nulling_relids (planner lanes) | oj-pullup lane 2026-07-04: PHV arms in OffsetVarNodes/ChangeVarNodes/IncrementVarSublevelsUp part-ddl lane 2026-07-04: map_variable_attnos grows to_rowtype (whole-row Var -> ConvertRowtypeExpr COERCE_IMPLICIT_CAST + CRE-collapse arm; callers pass InvalidOid); 2026-07-05 sweep4-item3: ReplaceVarFromTargetList OLD/NEW arm + SetVarReturningType walker (ReturningExpr wrap); batch-trig-rls-views 2026-07-05: ReplaceVarFromTargetList whole-row RowExpr expansion (rewriteManip.c 1801-1863) LIVE; OLD/NEW RETURNING arm stays LOUD (batch-modifytable)
backend-rewrite-core	src/backend/rewrite/rewriteRemove.c,src/backend/rewrite/rewriteSearchCycle.c,src/backend/rewrite/rewriteSupport.c	partial	rewrite_define	cold(per-DDL)	fabled:backend-rewrite-core; 2026-07-03 rules lane: rewriteRemove.c RemoveRewriteRuleById (doDeletion REWRITE arm via rewrite_define_seams::remove_rewrite_rule_by_id — catalog_dependency cycle) + rewriteSupport.c SetRelationRuleStatus/get_rewrite_oid live in crate rewrite_define; rewriteSearchCycle.c PORTED 2026-07-03 search-cycle lane (crate rewrite_search_cycle: rewriteSearchAndCycle + 3 helpers, in-place CTE mutation vs C copyObject, wired into fireRIRrules ahead of the CTE RIR recursion); rowsecurity.c decomposed to backend-rewrite-rowsecurity (rls-lane 2026-07-03); 2026-07-03 catalog-hygiene: ported: RemoveRewriteRuleById 61 + SetRelationRuleStatus 39 + get_rewrite_oid 24 = 124 lines (crates/backend/rewrite/rewrite_define, 2fc28b6a/b7c83ae7); missing rewriteSupport IsDefinedRewriteRule 21, rewriteSearchCycle.c whole (rewriteSearchAndCycle 478 + 3 helpers 86 = 564); ~18% by lines (124/709)
backend-rewrite-rowsecurity	src/backend/rewrite/rowsecurity.c	ported	rowsecurity	cold(per-RLS-query rewrite)	rls-lane 2026-07-03: get_row_security_policies full (permissive OR/restrictive AND name-sorted, default-deny false consts, UPDATE/SELECT cross-policy adds, ON CONFLICT + MERGE WCO blocks, checkAsUser stamping); consumes rsdesc side cache (reverse-lcons order) + rls_seams::check_enable_rls; ChangeVarNodes via rewrite_manip (rules-lane); hassublinks recomputed per use (text cache divergence, behavior-identical); fireRIRrules RLS pass in rewrite_handler with policy infinite-recursion detection; e2e scripts/rls-e2e.sh; updview-rls-lane 2026-07-04: verified complete vs C 18.3 (no code delta needed); dominant rowsecurity louds were tablecmds/aclchk ownercheck call sites, now live; regress rowsecurity 684->923/1227 q, rls-e2e PASS
backend-rmgrdesc-extra-small	-	combined-into:backend-access-rmgrdesc-xlogdesc			
backend-rmgrdesc-extra	-	combined-into:backend-access-rmgrdesc-xlogdesc			
backend-rmgrdesc-next	src/backend/access/rmgrdesc/brindesc.c,src/backend/access/rmgrdesc/gindesc.c,src/backend/access/rmgrdesc/gistdesc.c,src/backend/access/rmgrdesc/hashdesc.c,src/backend/access/rmgrdesc/heapdesc.c,src/backend/access/rmgrdesc/mxactdesc.c,src/backend/access/rmgrdesc/nbtdesc.c,src/backend/access/rmgrdesc/spgdesc.c,src/backend/access/rmgrdesc/standbydesc.c	ported	rmgrdesc		fabled:backend-rmgrdesc-next; m1-dep(stub-ok); heapdesc(+heap2)/mxactdesc/nbtdesc/standbydesc ported; brin/gin/gist/hash/spg desc remain loud panics in rmgr; differential oracle scripts/waldesc-diff.sh: 21821 records byte-identical vs real pg_waldump 18.3; 2026-07-03 catalog-hygiene: heapdesc(+heap2)/mxactdesc/nbtdesc/standbydesc ported (43035fdd), brindesc landed via brin lane (14e2ce61), spgdesc via spgist lane (16f76a84) — all verified fn defs in crates/backend/access/rmgrdesc/src; MISSING: gindesc.c ~216L (gin_desc/gin_identify/desc_recompress_leaf), gistdesc.c ~117L (gist_desc/identify+out_* helpers), hashdesc.c ~173L (hash_desc/identify) = ~506 of 1747 C lines; ~71% ported by lines; obs-rmgrdesc-tail 2026-07-04: gindesc.c (gin_desc/gin_identify/desc_recompress_leaf, block-image + block-data leaf recompress, GIN_SEGMENT_* actions via gin_vocab), gistdesc.c (gist_desc/identify, FullTransactionId epoch:xid pairs), hashdesc.c (hash_desc/identify incl %g-equivalent double formatter for num_tuples/ntuples) LANDED — wired directly in rmgr::RmgrTable (unported_desc!/unported_identify! stubs removed); all 9 listed C sources now ported; 100% by lines
backend-access-rmgrdesc-xactdesc	src/backend/access/rmgrdesc/xactdesc.c	ported	rmgrdesc		fabled:backend-access-rmgrdesc-xactdesc; m1-dep(stub-ok); xact_desc/identify + ParsePrepareRecord (commit/abort parse reused from xact::redo); COMMIT/ABORT in oracle
backend-rmgrdesc-path	-	combined-into:backend-access-rmgrdesc-smgrdesc			
backend-rmgrdesc-small	src/backend/access/rmgrdesc/clogdesc.c,src/backend/access/rmgrdesc/committsdesc.c,src/backend/access/rmgrdesc/dbasedesc.c,src/backend/access/rmgrdesc/genericdesc.c,src/backend/access/rmgrdesc/logicalmsgdesc.c,src/backend/access/rmgrdesc/relmapdesc.c,src/backend/access/rmgrdesc/rmgrdesc_utils.c,src/backend/access/rmgrdesc/seqdesc.c,src/backend/access/rmgrdesc/tblspcdesc.c	ported	rmgrdesc		fabled:backend-access-rmgrdesc-small; clog/dbase/generic/relmap/seq/tblspc + rmgrdesc_utils array_desc ported; logicalmsg desc remains a loud panic; committsdesc ported 2026-07-04 (commit-ts lane: commit_ts_desc/commit_ts_identify C-exact formats incl unmasked identify switch); C-format unit tests for types the oracle cannot generate; 2026-07-03 catalog-hygiene: clog/dbase/generic/relmap/seq/tblspc desc+identify ported plus rmgrdesc_utils array_desc (rmgrdesc/src/lib.rs:181) per 43035fdd; MISSING: logicalmsgdesc.c ~52L (logicalmsg_desc/identify); ~90% ported by lines; obs-rmgrdesc-tail 2026-07-04: logicalmsgdesc.c (logicalmsg_desc/identify, transactional/non-transactional + hex payload dump) LANDED — wired in rmgr::RmgrTable; all 9 listed C sources now ported; 100% by lines
backend-snowball-dict-snowball	src/backend/snowball/dict_snowball.c	ported	dict_snowball	cold-rationale(no crate bench): per-lexize dictionary path, regress+e2e verified	fabled:backend-snowball-dict-snowball; 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted; tsearch-lane 2026-07-03 re-scoped per lane charter: english_stem needed by tsdicts/tstypes; english stemmer only, other languages loud; tsearch-lane 2026-07-04: english UTF8/LATIN1 stemmers only, other languages loud at init; snowball buffers via global allocator not dictCtx (leak bounded to inval events)
backend-statistics-core	src/backend/statistics/attribute_stats.c,src/backend/statistics/relation_stats.c,src/backend/statistics/stat_utils.c	ported	crates/backend/statistics/stats_import	cold-path (manual stats import DDL); no bench	stats_import regress 21->121/132 @2af3490d; residue blocked on parse_utilcmd composite-column CREATE VIEW/LIKE; audit pending at landing
backend-statistics-dependencies	src/backend/statistics/dependencies.c	ported	statistics	cold	build+serialize byte-exact vs C (e2e blob md5 PASS); selectivity leg lives in planner/src/extended_stats.rs (Var-only clauses); type I/O: in/out/recv ported 2026-07-04 extstats-core (out over the deserializer; in/recv C error arms); send still loud; 2026-07-04 extstats-consume-b: expression leg in planner/extended_stats.rs (dependency_is_compatible_expression + negative-attnum offset remap per C 18.3); 2026-07-04 srf-introspection-lane: pg_dependencies_in/out/recv/send 3404-3407 registered (out C-exact %f rendering; send=byteasend; in/recv reject)
backend-statistics-mvdistinct	src/backend/statistics/mvdistinct.c	ported	statistics	cold	build+serialize+deserialize byte-exact vs C; estimate leg in planner estimate_num_groups (e2e GROUP BY estimate parity PASS); type I/O: in/out/recv ported 2026-07-04 extstats-core (out over the deserializer; in/recv C error arms); send still loud; 2026-07-04 srf-introspection-lane: pg_ndistinct_in/out/recv/send 3355-3358 registered (out C-exact rendering; send=byteasend; in/recv reject)
backend-storage-aio-core	src/backend/storage/aio/aio.c,src/backend/storage/aio/aio_callback.c,src/backend/storage/aio/aio_funcs.c,src/backend/storage/aio/aio_io.c,src/backend/storage/aio/method_io_uring.c	partial	aio_core	cold(read pipeline gated by milestone scan benches)	GL-AIO-1 2026-07-22 re-opened the 2026-07-03 skipped:diverged rescore (Michael direct ask): aio.c/aio_callback.c/aio_io.c PORTED into aio_core (handle state machine, wrefs, batchmode, submit, callbacks as closed-ID seam dispatch, perform_synchronously); io worker threads = pmchild children (io_worker crate hosts IoWorkerMain); method_io_uring.c NOT ported (inc-2; divergent aio_uring prefetch lane retained, wref-field coexistence via PGAIO_WREF_TAG); pg_get_aios still zero-rows (aio_funcs unchanged, real walk now possible); letter scratchpad/night/GL-AIO-1-letter.md
backend-storage-aio-methods	src/backend/storage/aio/aio_init.c,src/backend/storage/aio/aio_target.c,src/backend/storage/aio/method_sync.c,src/backend/storage/aio/method_worker.c	ported	aio_core	cold(boot + per-IO-batch)	GL-AIO-1 2026-07-22: aio_init.c (shmem tables + io_max_concurrency auto-tune + pgaio_init_backend + crash-reset arm), aio_target.c (SMGR target via smgr_seams reopen — per-thread vfd re-resolve keeps C's cross-process fd contract), method_sync.c (enum arm), method_worker.c (ring under AioWorkerSubmissionQueueLock PG_LWLOCK(53), idle-mask fanout-2 latch wakeups by procno, IoWorkerMain in io_worker crate); io_method=worker SELECTABLE, default stays sync until the flip letter; letter scratchpad/night/GL-AIO-1-letter.md
backend-storage-aio-read-stream	src/backend/storage/aio/read_stream.c	skipped:diverged-io-design			fabled:backend-storage-aio-read-stream; m1-dep(stub-ok); 2026-07-03 rescore: skipped — we diverge by design with our own I/O architecture (docs/optimizations/andres-aio-dio.md, io-uring-reads + uring-buffer-reads lanes); C aio.c machinery not ported as-is; live GUC/boot surface stays in aio_config; GL-AIO-1 2026-07-22: still not ported — bufmgr's ReadBuffer_batched drives StartReadBuffers/WaitReadBuffers directly (C 18 pipeline now real, read.rs); read_stream port = named follow-up
